epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20245,0.78607,2.44549,1.15309,0.54074,0.50773,0.49524,0.4299,0.56738,1.64173,0.95096,0.0950175,1.75e-05,1.75e-05
2,8.68332,0.66284,1.57261,1.04991,0.85189,0.79639,0.8663,0.72864,0.59537,1.28129,0.92335,0.0890385,3.84739e-05,3.84739e-05
3,11.2268,0.49567,0.66567,0.9151,0.86968,0.79117,0.85261,0.71475,0.65036,0.83003,0.97914,0.0830593,5.93387e-05,5.93387e-05
4,13.6816,0.47904,0.51488,0.92361,0.88577,0.83934,0.86667,0.68167,0.79106,0.70881,1.04327,0.07708,8.00094e-05,8.00094e-05
5,16.1748,0.48694,0.49835,0.93934,0.85648,0.81443,0.86127,0.7072,0.70477,0.72251,1.00273,0.0711004,0.000100402,0.000100402
6,18.6357,0.4503,0.43318,0.89793,0.89426,0.82302,0.89723,0.77248,0.57731,0.57948,0.94561,0.0651204,0.000120434,0.000120434
7,21.0741,0.41197,0.3689,0.88282,0.88437,0.87392,0.91053,0.79848,0.51918,0.53424,0.90324,0.05914,0.000140023,0.000140023
8,23.3898,0.42201,0.39611,0.88924,0.88922,0.88266,0.91684,0.8212,0.42728,0.54172,0.85815,0.0531591,0.000159092,0.000159092
9,25.6723,0.42619,0.40287,0.87553,0.90446,0.91903,0.94769,0.84558,0.4623,0.45031,0.86324,0.0471776,0.000177562,0.000177562
10,27.9403,0.40789,0.39164,0.87182,0.91913,0.94717,0.96367,0.86451,0.43121,0.41464,0.85047,0.0411954,0.000195359,0.000195359
11,30.2094,0.391,0.33521,0.86872,0.93748,0.93643,0.97256,0.89276,0.39029,0.39072,0.84644,0.0352124,0.000212413,0.000212413
12,32.4714,0.37775,0.33256,0.86955,0.93126,0.95361,0.97549,0.89567,0.39571,0.36985,0.8457,0.0292287,0.000228655,0.000228655
